givenVideo,comparedVideo,distance
--DwgB78t-c,-YTR7iad2gg,3
--DwgB78t-c,7YTWbiR855Q,4
--DwgB78t-c,xdwCmA5Qd0k,4
--DwgB78t-c,8nSfRPMhWSY,4
--DwgB78t-c,Z513GMrgn44,4
--DwgB78t-c,6PloPuZ06R0,4
--DwgB78t-c,-3C2BHGmJ10,4
--DwgB78t-c,0fmC7Yf0yWM,4
--DwgB78t-c,4O310sLnpWQ,4
--DwgB78t-c,1l0jecJLeAc,4
--DwgB78t-c,YcYb4Mg6Cyw,4
--DwgB78t-c,3_xwzZAb7g4,4
--DwgB78t-c,T6LpBvUeLYU,4
--DwgB78t-c,1lFsFFIgH0I,4
--DwgB78t-c,20VIHAqgLwk,4
--DwgB78t-c,5m1Y_XRqzXc,4
--DwgB78t-c,2-9GLW8GWgc,4
--DwgB78t-c,W_ROyC1rtjQ,4
--DwgB78t-c,0jlPJ7zJgdU,4
--DwgB78t-c,Yb8yjPgomGo,4
--DwgB78t-c,5sZpcmNEDYE,4
--DwgB78t-c,UvRSXZS6dWA,4
--DwgB78t-c,Z5uGtvsc1JM,4
--DwgB78t-c,23POSZqHQtw,4
--DwgB78t-c,XeGcfOBzUpQ,4
--DwgB78t-c,33Vk4Bj-tn0,4
--DwgB78t-c,4rt0YN8nRT8,4
--DwgB78t-c,WzpOWH_Alig,4
--DwgB78t-c,4smzo8V_25Y,4
--DwgB78t-c,3vj1qxaEAuE,4
--DwgB78t-c,33vqy7OOMO8,4
--DwgB78t-c,22VztFEtUYQ,4
--DwgB78t-c,T5G8ruKjcTc,4
--DwgB78t-c,6o5Mnk72Eck,4
--DwgB78t-c,57bGr8MyTMg,4
--DwgB78t-c,29SmwF-latk,4
--DwgB78t-c,21XV6lBgFDk,4
--DwgB78t-c,-AAmfB5mN14,4
--DwgB78t-c,1lyez70AH94,4
--DwgB78t-c,-SNK4tnh41E,4
--DwgB78t-c,3z2SG_2A93g,4
